Lat,Lon,yerr,xerr,label
-10,165,0,0,Receivers
-8.789439268,167.4205988,0,0,Receivers
-7.578878536,169.8411975,0,0,Receivers
-6.368317804,172.2617963,0,0,Receivers
-5.157757072,174.682395,0,0,Receivers
-3.947196341,177.1029938,0,0,Receivers
-2.736635609,179.5235925,0,0,Receivers
-1.526074877,181.9441913,0,0,Receivers
-0.315514145,184.36479,0,0,Receivers
0.895046587,186.7853888,0,0,Receivers
2.105607319,189.2059875,0,0,Receivers
3.316168051,191.6265863,0,0,Receivers
4.526728783,194.047185,0,0,Receivers
5.737289515,196.4677838,0,0,Receivers
7,199,0,0,Receivers
-3,200,0,0,Source
0.458787963,198.0488269,0.44,2.47,2
0.008374696,197.9474395,0.39,2.38,5
0.83032032,197.6683764,0.42,2.56,9
