Lat-est2,Long-est2,delta
-14.30975359,193.4260343,2
-12.68036017,195.8765875,2
-10.90008033,198.2840157,2
-8.765115103,198.3580036,2
-6.527754049,197.5987081,2
-4.252233309,198.7018847,2
-1.698067142,197.9463319,2
2.82615773,197.1132105,2
1.616667087,198.2739774,2
3.679527957,196.7535026,2
6.99783943,199.8333082,2
8.610378287,198.7916829,2
11.49385846,199.6835147,2
14.93367539,200.1960483,2
15.8570788,199.895593,2
-14.36951573,193.7139605,5
-12.73998695,195.8151602,5
-11.23323094,198.2972203,5
-8.845843061,198.3410095,5
-6.552345678,197.5029358,5
-4.2762708,198.7278868,5
-1.778671095,197.945987,5
0.812517676,197.5348083,5
1.535452506,198.2470399,5
3.65525265,196.7319302,5
6.535598415,198.8328558,5
8.607376494,198.8102707,5
11.50698384,199.7002085,5
12.56585015,199.2306037,5
14.70245296,199.7797155,5
-14.40508439,193.6265002,9
-12.70945667,195.8393964,9
-10.95506763,198.3588296,9
-8.826414705,198.4478186,9
-6.569587947,197.401482,9
-4.291725417,197.7388632,9
-1.866919315,197.9864014,9
0.95346743,197.5906519,9
13.72122383,198.303013,9
3.232472113,195.2501059,9
5.799290084,197.2400623,9
8.606658972,198.8231529,9
10.69709459,199.0492579,9
13.15201951,199.4674572,9
15.91683435,199.9026539,9
-3.0000,200.0000,Actual
