"Distance from source (actual, km)",tS (est),tS (TauP),tS (visual)
1592.715391,767.8884053,809.182,698.71
1478.491104,714.0284249,756.449,671.4
1364.57079,660.1999506,704.107,643.47
1251.231038,605.418047,N/A,589.53
1138.834702,552.1380715,563.469,528.17
1027.876593,499.2764227,510.682,487
919.0583651,447.2081569,458.308,427.07
813.4142344,396.5465618,406.937,372.88
712.5249157,346.7534829,357.451,328.35
618.8768439,301.4138259,311.184,265.8
536.4160422,261.2558486,270.215,259.38
471.1670018,229.5167447,237.666,213.34
431.0915875,210.1094537,217.622,203.92
423.4234269,205.945605,213.784,211.78
451.6027677,219.9944784,227.886,208.35
